shoe_name,goat_price,stockx_low_price,stockx_high_price,low_profit,high_profit
Fragment Design x Air Jordan 3 Retro SP 'White',348,-1,-1,0,0
Off-White x Air Jordan 1 Retro High OG 'UNC',1650,-1,-1,0,0
Wmns Air Jordan 1 High OG 'UNC To Chicago',225,-1,-1,0,0
Air Jordan 12 Retro GS 'Dark Concord',163,-1,-1,0,0
Air Jordan 1 Retro High OG 'Shadow' 2018,164,-1,-1,0,0
Off-White x Air Jordan 1 Retro High OG 'Chicago',3700,-1,-1,0,0
Air Jordan 12 Retro 'University Gold',200,-1,-1,0,0
Zoom Kobe 5 Protro '5 Rings',200,-1,-1,0,0
Air Jordan 5 OG 'Metallic' 2016,150,-1,-1,0,0
Air Jordan 11 Retro 'Concord' 2018,400,-1,-1,0,0
Air Jordan 5 Retro SE 'What The',368,-1,-1,0,0
Travis Scott x Air Jordan 4 Retro 'Cactus Jack',975,-1,-1,0,0
Adapt BB 2.0 'Nike Mag',379,-1,-1,0,0
Air Jordan 1 Mid 'Smoke Grey',150,-1,-1,0,0
Wmns Air Jordan 1 Retro High OG 'Twist',679,-1,-1,0,0
Air Jordan 12 Retro 'Indigo',205,-1,-1,0,0
Travis Scott x Dunk Low Premium QS SB 'Cactus ...,1595,-1,-1,0,0
Wmns Air Jordan 1 Low 'UNC',215,-1,-1,0,0
Air Jordan 1 Retro High OG GS 'Dark Mocha',376,-1,-1,0,0
Air Jordan 1 Retro High OG 'Rookie of the Year',175,-1,-1,0,0
Yeezy Slides 'Core',160,-1,-1,0,0
Blazer Mid '77 Vintage 'White Black',88,-1,-1,0,0
Air Jordan 5 Retro 'Alternate Bel-Air',177,-1,-1,0,0
Wmns Air Jordan 1 Retro High OG 'Satin Red',250,-1,-1,0,0
Bad Bunny x Classic Clog 'Glow In The Dark',170,-1,-1,0,0
Off-White x Air Rubber Dunk 'University Blue',355,-1,-1,0,0
Yeezy Boost 700 V2 'Geode',308,-1,-1,0,0
Off-White x Air Force 1 Low '07 'MCA',1300,-1,-1,0,0
Air Jordan 1 Retro High OG 'Game Royal',180,-1,-1,0,0
Air Jordan 4 Retro OG 'White Cement' 2016,487,-1,-1,0,0
Yeezy Boost 350 V2 'Beluga 2.0',559,-1,-1,0,0
Yeezy Boost 350 V2 'Earth',290,-1,-1,0,0
Ruohan Wang x Air Force 1 Low,175,-1,-1,0,0
Travis Scott x Air Jordan 1 Low 'Mocha',979,-1,-1,0,0
Pharrell x NMD Human Race 'Dash Green',265,-1,-1,0,0
Rui Hachimura x Air Jordan 35 'Warrior',229,-1,-1,0,0
Air Jordan 3 Retro Denim SE 'Fire Red',208,-1,-1,0,0
Air Jordan 1 Retro High OG GS 'Royal Toe',280,-1,-1,0,0
Air Jordan 1 Low 'Light Smoke Grey',123,-1,-1,0,0
Air Jordan 1 Retro High OG 'Chicago' 2015,650,-1,-1,0,0
Dunk Low 'Community Garden',395,-1,-1,0,0
Yeezy Boost 350 V2 'Static Non-Reflective',360,-1,-1,0,0
Wmns Air Jordan 1 Retro High 'Satin Black Toe',420,-1,-1,0,0
Air Jordan 1 Retro High OG Premium 'Yin Yang',104,-1,-1,0,0
Yeezy Boost 350 V2 'Cloud White Non-Reflective',340,-1,-1,0,0
Air Jordan 1 Retro High OG 'Banned' 2016,350,-1,-1,0,0
Nike Mag 'Back To The Future',15000,-1,-1,0,0
Air Jordan 5 Retro SE 'Oregon',230,-1,-1,0,0
Pharrell x NMD Human Race Trail PRD 'Now Is He...,172,-1,-1,0,0
Yeezy Slides 'Soot',137,-1,-1,0,0
Off-White x Air Max 90 'Black',538,-1,-1,0,0
Dunk High SP Retro 'Michigan' 2020,204,-1,-1,0,0
Comme des Garçons x Air Force 1 Mid 'Triple White',359,-1,-1,0,0
Yeezy 700 V3 'Alvah',458,-1,-1,0,0
Air Jordan 1 Mid SE 'Red Black Toe',120,-1,-1,0,0
Stussy x Air Zoom Spiridon Caged 'Fossil',350,-1,-1,0,0
Air Jordan 4 Retro SE 'What The 4',200,-1,-1,0,0
Air Jordan 5 Retro 'Alternate Grape',200,-1,-1,0,0
Wmns Air Jordan 11 Retro Low 'Concord Sketch',180,-1,-1,0,0
Off-White x Air Jordan 5 Retro SP PS 'Sail',398,-1,-1,0,0
Travis Scott x Air Jordan 6 Retro 'Olive',616,-1,-1,0,0
Dunk High SP 'Spartan Green',203,-1,-1,0,0
Supreme x Air Max Plus TN 'White',615,-1,-1,0,0
Wmns Air Jordan 1 Retro High OG 'Tie-Dye',330,-1,-1,0,0
Yeezy Boost 350 V2 'Citrin Non-Reflective',255,-1,-1,0,0
Air Force 1 Low 'ALL FOR 1 - NYC Parks',95,-1,-1,0,0
Air Jordan 4 Retro OG GS 'Bred' 2019,219,-1,-1,0,0
Air Jordan 1 Low 'Gym Red',134,-1,-1,0,0
Yeezy Boost 350 V2 'Blue Tint',448,-1,-1,0,0
Salehe Bembury x 2002R 'Peace Be The Journey',294,-1,-1,0,0
Yeezy Foam Runner 'Ararat',385,-1,-1,0,0
Dunk Low Retro SP 'St. John's',384,-1,-1,0,0
KAWS x Air Jordan 4 Retro 'Black',1150,-1,-1,0,0
Air Jordan 1 Retro High OG GS 'Obsidian',483,-1,-1,0,0
Wmns Air Jordan 3 Retro 'Laser Orange',215,-1,-1,0,0
Air Jordan 1 Retro High OG 'Royal' 2017,439,-1,-1,0,0
Wmns Dunk Low 'White Oatmeal',730,-1,-1,0,0
Air Jordan 3 Retro OG 'Black Cement' 2018,340,-1,-1,0,0
Air VaporMax Plus 'Triple Black',160,-1,-1,0,0
Wmns Air Jordan 1 Mid SE 'Desert Ochre',143,-1,-1,0,0
Air Jordan 3 Retro OG 'True Blue' 2016,199,-1,-1,0,0
Air Jordan 1 Retro High OG 'Pine Green',384,-1,-1,0,0
Air Jordan 5 Retro 'Top 3',208,-1,-1,0,0
Air Jordan 1 Retro High OG 'Neutral Grey',139,-1,-1,0,0
Off-White x Dunk Low 'University Red',562,-1,-1,0,0
Yeezy Boost 350 V2 'Tail Light',370,-1,-1,0,0
Supreme x Air Force 1 Low 'Box Logo - White',210,-1,-1,0,0
Yeezy Boost 350 V2 'Semi Frozen Yellow',325,-1,-1,0,0
